dataset,estimator,cost_type,n_samples,method,validity,cost,plausibility,sparsity,time,time per samples
FICO,RandomForest,std,20,FOCUS (0.001),0.6,10.069590625508377,0.46691775278753683,14.583333333333334,401.4903769493103,20.074518847465516
FICO,RandomForest,std,20,FOCUS (0.01),0.6,5.033703617130716,0.44837516184271076,9.999999999999998,406.1319570541382,20.306597852706908
FICO,RandomForest,std,20,FOCUS (0.1),0.3,1.5265447857479255,0.4258804231236342,2.8333333333333335,405.61500120162964,20.28075006008148
FICO,RandomForest,std,20,FT++,1.0,3.142810211921128,0.45901573430246484,3.0499999999999994,3.7900390625,0.189501953125
Credit,RandomForest,std,20,FT,1.0,1.169978046115212,0.4782752040591459,1.2000000000000002,0.35796618461608887,0.017898309230804443
Credit,RandomForest,std,20,OAE,1.0,3.7488622654092416,0.5363277302754185,5.55,3827.0242331027985,191.35121165513993
Credit,RandomForest,std,20,FOCUS (0.001),1.0,11.352636000694474,0.5162338759602392,8.55,379.1499512195587,18.957497560977934
Credit,RandomForest,std,20,FOCUS (0.01),1.0,6.5178012445743665,0.4574070345210018,6.050000000000001,379.1590802669525,18.957954013347624
Credit,RandomForest,std,20,FOCUS (0.1),0.35,1.4391844953643158,0.4573675343222782,2.142857142857143,372.0144832134247,18.600724160671234
Credit,RandomForest,std,20,FT++,1.0,1.168300501525853,0.48694635054696195,1.3000000000000003,2.8611929416656494,0.14305964708328248
Credit,RandomForest,std,20,FT,1.0,1.008409680319632,0.4882469617116071,1.15,0.3339982032775879,0.016699910163879395
Credit,RandomForest,std,20,OAE,1.0,2.0788211758151345,0.522839335669239,4.05,3777.0259399414062,188.8512969970703
Credit,RandomForest,std,20,FOCUS (0.001),1.0,12.61066528581723,0.5241825329623208,8.45,364.06516098976135,18.203258049488067
Credit,RandomForest,std,20,FOCUS (0.01),1.0,7.130060555871751,0.4448170330714583,5.800000000000001,369.64061999320984,18.48203099966049
Credit,RandomForest,std,20,FOCUS (0.1),0.35,1.354788552757652,0.46978634887658427,1.7142857142857142,369.5351598262787,18.476757991313935
Credit,RandomForest,std,20,FT++,1.0,1.008409680319632,0.49822880332588604,1.15,2.681967258453369,0.13409836292266847
Credit,RandomForest,std,20,FT,1.0,1.2165872321381679,0.5001247128788145,1.35,0.34035325050354004,0.017017662525177002
Credit,RandomForest,std,20,OAE,1.0,3.59352760410668,0.5383946447974914,4.699999999999999,3736.153561115265,186.80767805576323
Credit,RandomForest,std,20,FOCUS (0.001),1.0,11.578999453384313,0.5105666735277461,8.6,370.1445369720459,18.507226848602294
Credit,RandomForest,std,20,FOCUS (0.01),1.0,6.7358223182643995,0.4665817779970246,6.3500000000000005,370.1457989215851,18.507289946079254
Credit,RandomForest,std,20,FOCUS (0.1),0.35,1.2170089018348205,0.4781689299102731,1.8571428571428572,372.10414695739746,18.60520734786987
Credit,RandomForest,std,20,FT++,1.0,1.2135689118149775,0.5105273898028966,1.5499999999999998,2.727626085281372,0.1363813042640686
