dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1052,DiRARTE-W,1.5,1.0,0.3669201520912547,3.0550509802627763,0.4539913746937701,2.7889733840304185,89.28580904006958,0.08487244205329808
FICO,XGBoost,split,tlps,1052,DiRARTE-W,2.0,1.0,0.43155893536121676,4.017171288650587,0.4538535984392971,3.1768060836501903,89.28580904006958,0.08487244205329808
FICO,XGBoost,split,tlps,1052,DiRARTE-W,2.5,0.997148288973384,0.49429657794676807,5.47679859742011,0.45509278592412994,3.5786463298379405,89.28580904006958,0.08487244205329808
FICO,XGBoost,split,tlps,1052,DiRARTE-W,3.0,0.9857414448669202,0.5712927756653993,7.744833464993397,0.4559165413488825,4.03857280617165,89.28580904006958,0.08487244205329808
FICO,XGBoost,split,tlps,1052,DiRARTE-W,3.5,0.9344106463878327,0.5998098859315589,10.345632928208092,0.4573525079196911,4.3143438453713125,89.28580904006958,0.08487244205329808
FICO,XGBoost,split,tlps,1052,DiRARTE-X,0.02,1.0,0.3526615969581749,3.0476335330816067,0.4531911232616303,2.7566539923954365,122.9362621307373,0.11685956476305827
FICO,XGBoost,split,tlps,1052,DiRARTE-X,0.04,0.997148288973384,0.41159695817490494,4.225451888769801,0.45272000290479,3.2383222116301242,122.9362621307373,0.11685956476305827
FICO,XGBoost,split,tlps,1052,DiRARTE-X,0.06,0.9933460076045627,0.49334600760456276,5.799641486441783,0.45212458704940267,3.6325358851674645,122.9362621307373,0.11685956476305827
FICO,XGBoost,split,tlps,1052,DiRARTE-X,0.08,0.9657794676806084,0.5313688212927756,7.4920414644345374,0.4519818268406629,3.9311023622047236,122.9362621307373,0.11685956476305827
FICO,XGBoost,split,tlps,1052,DiRARTE-X,0.1,0.9201520912547528,0.5608365019011406,9.019920869724407,0.4510761595932282,4.158057851239669,122.9362621307373,0.11685956476305827
FICO,XGBoost,split,tlps,1043,Baseline,0.0,1.0,0.2483221476510067,1.2850184378396503,0.4528057298900733,1.8360498561840841,78.12408518791199,0.07490324562599424
FICO,XGBoost,split,tlps,1043,RobX,0.5,1.0,0.3883029721955896,7.009323272876328,0.436763383389602,15.006711409395972,387.52192878723145,0.3715454734297521
FICO,XGBoost,split,tlps,1043,RobX,0.55,0.9990412272291467,0.41802492809204217,8.07021702838399,0.43474045603016964,15.05278310940499,387.52192878723145,0.3715454734297521
FICO,XGBoost,split,tlps,1043,RobX,0.6,0.99712368168744,0.46021093000958774,9.072812814519613,0.4330197368414286,15.12019230769231,387.52192878723145,0.3715454734297521
FICO,XGBoost,split,tlps,1043,RobX,0.65,0.9990412272291467,0.5148609779482263,10.228412242384334,0.4316756301190929,15.197696737044147,387.52192878723145,0.3715454734297521
FICO,XGBoost,split,tlps,1043,RobX,0.7,0.9990412272291467,0.5685522531160115,11.676127949471887,0.43103092483014044,15.206333973128597,387.52192878723145,0.3715454734297521
FICO,XGBoost,split,tlps,1043,BetaRobust,0.7,1.0,0.3480345158197507,2.4060637658355657,0.44984474521270335,2.4189837008628956,183.07114124298096,0.17552362535281013
